"country","year","continent","oil_consumption"
"USSR",1970,"Asia",7.97400069981363
"USSR",1971,"Asia",8.03241925627825
"USSR",1972,"Asia",8.11362847641667
"USSR",1973,"Asia",8.18602195960912
"USSR",1974,"Asia",8.27999736777832
"USSR",1975,"Asia",8.32714828620194
"USSR",1976,"Asia",8.35435279848993
"USSR",1977,"Asia",8.39361507164904
"USSR",1978,"Asia",8.45299999731309
"USSR",1979,"Asia",8.47038602979698
"USSR",1980,"Asia",8.51753633253659
"USSR",1981,"Asia",8.52621735093085
"USSR",1982,"Asia",8.51889015076593
"USSR",1983,"Asia",8.50417522417415
"USSR",1984,"Asia",8.50431947964598
"India",1965,"Asia",4.99046659980573
"India",1966,"Asia",5.1008415619824
"India",1967,"Asia",5.13208567090303
"India",1968,"Asia",5.24587077579087
"India",1969,"Asia",5.42907804929855
"India",1970,"Asia",5.42451820620266
"India",1971,"Asia",5.49447197071267
"India",1972,"Asia",5.56984337988483
"India",1973,"Asia",5.62390558656717
"India",1974,"Asia",5.60415733210902
"India",1975,"Asia",5.62799154866825
"India",1976,"Asia",5.68109027656857
"India",1977,"Asia",5.75274405270486
"India",1978,"Asia",5.83593583489676
"India",1979,"Asia",5.91210473121077
"India",1980,"Asia",5.93178354244481
"India",1981,"Asia",6.00553016093269
"India",1982,"Asia",6.04658463497228
"India",1983,"Asia",6.09664179597348
"India",1984,"Asia",6.16767790343715
"India",1985,"Asia",6.24929161095344
"India",1986,"Asia",6.29944544725757
"India",1987,"Asia",6.33110497399584
"India",1988,"Asia",6.4240761651054
"India",1989,"Asia",6.50396327046196
"India",1990,"Asia",6.54181900962861
"India",1991,"Asia",6.55792542529535
"India",1992,"Asia",6.60912954248509
"India",1993,"Asia",6.61959042334264
"India",1994,"Asia",6.6909416513628
"India",1995,"Asia",6.80000301648791
"India",1996,"Asia",6.87648956078807
"India",1997,"Asia",6.94338397162414
"India",1998,"Asia",7.01204592253084
"India",1999,"Asia",7.09956749003707
"India",2000,"Asia",7.14954942170492
"India",2001,"Asia",7.15504729486503
"India",2002,"Asia",7.21883278158341
"India",2003,"Asia",7.24459887521226
"India",2004,"Asia",7.27090491677895
"India",2005,"Asia",7.28910254262242
"India",2006,"Asia",7.33850014435067
"India",2007,"Asia",7.41094522501739
"India",2008,"Asia",7.45825478243671
"India",2009,"Asia",7.50939499026046
"India",2010,"Asia",7.53172599977526
"India",2011,"Asia",7.57738456919528
"India",2012,"Asia",7.63510386625675
"India",2013,"Asia",7.64178621215527
"India",2014,"Asia",7.67049055384878
"India",2015,"Asia",7.74794738173599
"India",2016,"Asia",7.84030708011502
"India",2017,"Asia",7.87673105630888
"India",2018,"Asia",7.9244320141182
"India",2019,"Asia",7.95294604527897
"Japan",1965,"Asia",6.92144218449352
"Japan",1966,"Asia",7.05191622718003
"Japan",1967,"Asia",7.25698789739144
"Japan",1968,"Asia",7.4061094565527
"Japan",1969,"Asia",7.57504399260757
"Japan",1970,"Asia",7.73923729713092
"Japan",1971,"Asia",7.83808776240146
"Japan",1972,"Asia",7.90422815496196
"Japan",1973,"Asia",8.04272553320286
"Japan",1974,"Asia",8.00496992473559
"Japan",1975,"Asia",7.94701557319998
"Japan",1976,"Asia",7.98626485533306
"Japan",1977,"Asia",8.01276737843774
"Japan",1978,"Asia",8.04660443101465
"Japan",1979,"Asia",8.05729924666284
"Japan",1980,"Asia",7.95088868378636
"Japan",1981,"Asia",7.89497444792702
"Japan",1982,"Asia",7.82369034761562
"Japan",1983,"Asia",7.82385039172412
"Japan",1984,"Asia",7.88016770971515
"Japan",1985,"Asia",7.82757577390654
"Japan",1986,"Asia",7.83740241563633
"Japan",1987,"Asia",7.84250263465685
"Japan",1988,"Asia",7.91593981603839
"Japan",1989,"Asia",7.95440843760824
"Japan",1990,"Asia",7.98764403791881
"Japan",1991,"Asia",8.00274099959455
"Japan",1992,"Asia",8.02785243931032
"Japan",1993,"Asia",8.00634823413002
"Japan",1994,"Asia",8.06210024338625
"Japan",1995,"Asia",8.07926263786905
"Japan",1996,"Asia",8.08555113713947
"Japan",1997,"Asia",8.07334218160273
"Japan",1998,"Asia",8.03331876592601
"Japan",1999,"Asia",8.05157895467683
"Japan",2000,"Asia",8.03738969999635
"Japan",2001,"Asia",8.00597649118982
"Japan",2002,"Asia",7.98977398585535
"Japan",2003,"Asia",8.01259082958965
"Japan",2004,"Asia",7.98650459853354
"Japan",2005,"Asia",7.99979300248309
"Japan",2006,"Asia",7.96263404708186
"Japan",2007,"Asia",7.93141446924715
"Japan",2008,"Asia",7.90185151015206
"Japan",2009,"Asia",7.79202062910709
"Japan",2010,"Asia",7.80146005769988
"Japan",2011,"Asia",7.80398737479266
"Japan",2012,"Asia",7.86766894308561
"Japan",2013,"Asia",7.8207642317051
"Japan",2014,"Asia",7.76951548227576
"Japan",2015,"Asia",7.73127085516147
"Japan",2016,"Asia",7.70245764410268
"Japan",2017,"Asia",7.68755389676116
"Japan",2018,"Asia",7.65935814267535
"Japan",2019,"Asia",7.64605076208132
"Saudi Arabia",1965,"Asia",5.43435935498781
"Saudi Arabia",1966,"Asia",5.44290244150559
"Saudi Arabia",1967,"Asia",5.45137316149325
"Saudi Arabia",1968,"Asia",5.45987908806839
"Saudi Arabia",1969,"Asia",5.46840185489623
"Saudi Arabia",1970,"Asia",5.51142674349431
"Saudi Arabia",1971,"Asia",5.52332717531996
"Saudi Arabia",1972,"Asia",5.58969510161843
"Saudi Arabia",1973,"Asia",5.64866080876565
"Saudi Arabia",1974,"Asia",5.69616352402296
"Saudi Arabia",1975,"Asia",5.42726451757518
"Saudi Arabia",1976,"Asia",5.57977510797985
"Saudi Arabia",1977,"Asia",5.72574290294338
"Saudi Arabia",1978,"Asia",5.80336834912129
"Saudi Arabia",1979,"Asia",5.99306077246217
"Saudi Arabia",1980,"Asia",5.79171398374997
"Saudi Arabia",1981,"Asia",5.97523607490297
"Saudi Arabia",1982,"Asia",6.08228055231216
"Saudi Arabia",1983,"Asia",6.1873273394686
"Saudi Arabia",1984,"Asia",6.29606457548343
"Saudi Arabia",1985,"Asia",6.31201970504535
"Saudi Arabia",1986,"Asia",6.30130309203455
"Saudi Arabia",1987,"Asia",6.35812125704936
"Saudi Arabia",1988,"Asia",6.38662339436074
"Saudi Arabia",1989,"Asia",6.35170213727946
"Saudi Arabia",1990,"Asia",6.41332780102578
"Saudi Arabia",1991,"Asia",6.45890238753099
"Saudi Arabia",1992,"Asia",6.4271419655576
"Saudi Arabia",1993,"Asia",6.43373238329572
"Saudi Arabia",1994,"Asia",6.62443169450731
"Saudi Arabia",1995,"Asia",6.58227579999548
"Saudi Arabia",1996,"Asia",6.61565412341622
"Saudi Arabia",1997,"Asia",6.63276696546047
"Saudi Arabia",1998,"Asia",6.69431202726589
"Saudi Arabia",1999,"Asia",6.72930661285598
"Saudi Arabia",2000,"Asia",6.75893039191023
"Saudi Arabia",2001,"Asia",6.81588228527988
"Saudi Arabia",2002,"Asia",6.84866747565499
"Saudi Arabia",2003,"Asia",6.90622711192943
"Saudi Arabia",2004,"Asia",6.98319664748199
"Saudi Arabia",2005,"Asia",7.03651342275831
"Saudi Arabia",2006,"Asia",7.07813751151967
"Saudi Arabia",2007,"Asia",7.13742310088195
"Saudi Arabia",2008,"Asia",7.22893402115596
"Saudi Arabia",2009,"Asia",7.3223915365727
"Saudi Arabia",2010,"Asia",7.40442031318136
"Saudi Arabia",2011,"Asia",7.42626331728749
"Saudi Arabia",2012,"Asia",7.4764536946926
"Saudi Arabia",2013,"Asia",7.4788495082571
"Saudi Arabia",2014,"Asia",7.5718505088296
"Saudi Arabia",2015,"Asia",7.60854914895059
"Saudi Arabia",2016,"Asia",7.59819780525996
"Saudi Arabia",2017,"Asia",7.58223123197179
"Saudi Arabia",2018,"Asia",7.5532609104617
"Saudi Arabia",2019,"Asia",7.56184713271173
"Russia",1985,"Asia",7.98490420209136
"Russia",1986,"Asia",7.9967787414464
"Russia",1987,"Asia",8.00492252407751
"Russia",1988,"Asia",7.99699848117517
"Russia",1989,"Asia",8.01548190559434
"Russia",1990,"Asia",8.00123609078101
"Russia",1991,"Asia",7.97538966896748
"Russia",1992,"Asia",7.92930148099703
"Russia",1993,"Asia",7.74761454147229
"Russia",1994,"Asia",7.62366589539391
"Russia",1995,"Asia",7.48743192417484
"Russia",1996,"Asia",7.33922660806398
"Russia",1997,"Asia",7.33100725862505
"Russia",1998,"Asia",7.28800650532943
"Russia",1999,"Asia",7.31010019100406
"Russia",2000,"Asia",7.29016804518681
"Russia",2001,"Asia",7.31948936260369
"Russia",2002,"Asia",7.28360274978468
"Russia",2003,"Asia",7.31933300028007
"Russia",2004,"Asia",7.30506858458164
"Russia",2005,"Asia",7.30962861104529
"Russia",2006,"Asia",7.35291598746679
"Russia",2007,"Asia",7.35165617688721
"Russia",2008,"Asia",7.38121418188852
"Russia",2009,"Asia",7.3398584231898
"Russia",2010,"Asia",7.38032623482286
"Russia",2011,"Asia",7.44434630554691
"Russia",2012,"Asia",7.46137541457637
"Russia",2013,"Asia",7.46073365941153
"Russia",2014,"Asia",7.51244440024841
"Russia",2015,"Asia",7.45977255693583
"Russia",2016,"Asia",7.4860341095595
"Russia",2017,"Asia",7.47259283827965
"Russia",2018,"Asia",7.49837459480446
"Russia",2019,"Asia",7.50918840591811
"South Korea",1965,"Asia",2.71700994247368
"South Korea",1966,"Asia",3.1203805781191
"South Korea",1967,"Asia",3.67038447147769
"South Korea",1968,"Asia",4.0613047081439
"South Korea",1969,"Asia",4.36667185103925
"South Korea",1970,"Asia",4.58905096660819
"South Korea",1971,"Asia",4.71073668043083
"South Korea",1972,"Asia",4.75361605284091
"South Korea",1973,"Asia",4.9613750194422
"South Korea",1974,"Asia",4.99381461636591
"South Korea",1975,"Asia",5.11909500229175
"South Korea",1976,"Asia",5.23474904128487
"South Korea",1977,"Asia",5.40994818271922
